"Status","Timestamp","Event Name","Column 4","Event Date(s)","Venue Name","Address","Event Start Time","Event End Time","Complicated dates/times?","Target Audience","Short Event Description","Long event description","The hook!","Price","Registration","Event link","Primary type of event","Additional type of event","Address Link","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-16 12:19:20","Giant Video Games & TGW Kickoff","2026-06-11","Thursday June 11","Canada Malting Silos","9 Eireann Quay","20:00:00","23:00:00","","Community, Industry, Game Enthusiasts, NextGen Creators, Game Curious, Game Creators","Come celebrate the beginning of Toronto Games Week outdoors at the waterfront! Meet some new folks and get hyped for the big event at sundown: massive playable projected Toronto video games on the historic Canada Malting Silos, an arcade of locally made video games for you to explore and food stalls with marvellous snacks.  Made possible by Unity, OCAD University and Interactive Ontario. Presented by the City of Toronto.
","","","Free, just show up!","More info here.","https://www.toronto.ca/explore-enjoy/festivals-events/video-game-month/?event_id=491b106a-724e-4837-b514-3f0b87ed3c32&event_name=Giant%20Video%20Games%20%26%20Toronto%20Games%20Week%20Kickoff&calendar_date=2026-06-11T20:00:00-04:00","Showcase","Social","P1 Express Park","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-14 15:27:29","The Beautiful Game: A Playable History of Soccer Video Games","2026-06-11","Thursday June 11","Royal Ontario Museum","100 Queen's Park","11:00:00","16:00:00","Thursday, June 11: 11am-4pm
Friday, June 12: 11am-4pm
Saturday, June 13: 11am-4pm
Sunday, June 14: 11am-4pm
MONDAY – ROM CLOSED
Tuesday, June 16: 11am-8pm (free general admission starting at 4pm)
Wednesday, June 17: 11am-4pm

","Community","The Beautiful Game presents a playable selection of soccer video games spanning the last 50 years. The exhibit traces how the world’s most popular sport has been imagined for players on screen. It invites visitors to celebrate soccer’s global history through play as the beautiful game comes home to Toronto.","The Beautiful Game presents a playable selection of soccer video games spanning the last 50 years. The exhibit traces how the world’s most popular sport has been imagined for players on screen, from early home console experiments to influential titles that helped define modern sports gaming. It invites visitors to celebrate soccer’s global history through play as the beautiful game comes home to Toronto.

Beginning with early interpretations on platforms such as the Atari 2600, where soccer was represented through simple graphics and fast reflexes, the exhibition follows the sport’s digital evolution through home consoles like the Nintendo Entertainment System and into the rise of landmark franchises such as FIFA International Soccer. Displayed side by side, these games reveal how advances in technology reshaped ideas of realism, competition, and spectacle across generations.

This exhibit is a collaboration between the Royal Ontario Museum, the University of Toronto Mississauga Library with its extensive Syd Bolton Collection of video games, and the Broken Games Collective, a community of practice that champions restoring access to games that are broken, obsolete, or inaccessible. Together, they bring historical hardware, software, and curatorial expertise into a shared space that recognizes retro video games as cultural artifacts, preserving how generations of players have engaged with soccer beyond the stadium and onto the screen.
","Global soccer comes to Toronto. Play the video games that brought the beautiful game home. ","","Tickets required.","https://tickets.rom.on.ca/en/shop","Showcase","","100 Queen's Park","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-12 02:14:00","Journalling for Your Games and Creative Work","2026-06-11","Thursday June 11","Fort York Public Library","190 Fort York Blvd.","17:00:00","19:00:00","I would like to request 2 hours if possible, though 1.5 hours minimum can still work! Plus, a 30 min networking space after the session will be grand. I think the latter is even more important.","Community, Industry, NextGen Creators, Game Curious, Game Creators, Artists and other Creatives","There are many challenges to bring a project to life, including in technical, creative, and business processes. Join Tanya Kan from the game studio Vivid Foundry in a journalling workshop to reflect on your goals and priorities. Whether you’re working on a 1-month art piece or a 4-year game, let’s be motivated in our human-first creative journey!","Award-winning game developer Tanya Kan brings her 14 years of industry experience to help you prioritize and augment your creative power, emphasizing human-first artistry and problem-solving. Let’s celebrate making the creative media that drives you!

There are so many moving parts to bringing a creative project to life. For example, from ideation to launch, a video game can have immense scope, creative, technical, administrative, and psychological challenges. Whether you are working on a 3-month long Youtube project, a 6-month long interior design project, or a 4-year long game project, let’s journal together to frame our goals, priorities, and plans wisely. Bring your favorite journals and writing tools. All experience levels, solo or teams, and disciplines are welcome!

This Cozy Journalling session will have some big changes from last year’s session: There will be an all-new production management for teams module section inspired by Kim Scott’s book “Radical Respect”, more design thinking aimed at early professionals, and more opportunity for participants to reframe their energy about their creative strengths. I will also save more time for these topics by not discussing fountain pens, as I think that falls outside the 1.5 to 2 hour time limits.","In this day and age, let’s bring some cozy back into our creative productions, so that we both manage our stresses and bring out the best in our human-first creative output. ","PWYC.","Registration required.","https://www.eventbrite.ca/e/journalling-for-your-games-and-creative-work-tickets-1989288265753","Workshop","","190 Fort York Blvd","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-08 15:05:35","An Intro to DaggerHeart","2026-06-11","Thursday June 11","Port Union Public Library","5450 Lawrence Ave. E.","18:00:00","20:00:00","","Community, Game Enthusiasts, Game Curious","Come learn the ins and outs of the tabletop roleplaying phenomenon known as DaggerHeart. Players will fall into the roles of our heroic adventurers and prove they have the strength, skills, knowledge and bravery to become the Games Week Champions! No prior TTRPG experience required.","","Its a fun, collaborative storytelling event where the limits are boundless.","Free!","Registration required.","https://tpl.bibliocommons.com/v2/events/69d6a557c1cf6f9a758407d0","Game","","5450 Lawrence Ave E","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-10 14:12:15","
Secrets of MUDs and MUSHes from a Werewolf Elder","2026-06-11","Thursday June 11","Fort York Public Library","190 Fort York Blvd.","19:00:00","20:00:00","","Game Curious, Folks who have heard of MUDs but never really knew what they were","Come learn about the history of MUDs and MUSHes from a longtime RetroMUX community Storyteller! Find out how the very first online roleplaying games persist after more than 45 years, plus, come play (bring a laptop, tablet, or phone!) on a noob-friendly MUSH set in cyberpunk Toronto specially designed for TGW.","","Passing on the Forgotten Dark Arts of RPing from a Command Line","Free, just show up!","","","Talk","Workshop","190 Fort York Blvd","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-14 15:27:29","The Beautiful Game: A Playable History of Soccer Video Games","2026-06-12","Friday June 12","Royal Ontario Museum","100 Queen's Park","11:00:00","16:00:00","Thursday, June 11: 11am-4pm
Friday, June 12: 11am-4pm
Saturday, June 13: 11am-4pm
Sunday, June 14: 11am-4pm
MONDAY – ROM CLOSED
Tuesday, June 16: 11am-8pm (free general admission starting at 4pm)
Wednesday, June 17: 11am-4pm

","Community","The Beautiful Game presents a playable selection of soccer video games spanning the last 50 years. The exhibit traces how the world’s most popular sport has been imagined for players on screen. It invites visitors to celebrate soccer’s global history through play as the beautiful game comes home to Toronto.","The Beautiful Game presents a playable selection of soccer video games spanning the last 50 years. The exhibit traces how the world’s most popular sport has been imagined for players on screen, from early home console experiments to influential titles that helped define modern sports gaming. It invites visitors to celebrate soccer’s global history through play as the beautiful game comes home to Toronto.

Beginning with early interpretations on platforms such as the Atari 2600, where soccer was represented through simple graphics and fast reflexes, the exhibition follows the sport’s digital evolution through home consoles like the Nintendo Entertainment System and into the rise of landmark franchises such as FIFA International Soccer. Displayed side by side, these games reveal how advances in technology reshaped ideas of realism, competition, and spectacle across generations.

This exhibit is a collaboration between the Royal Ontario Museum, the University of Toronto Mississauga Library with its extensive Syd Bolton Collection of video games, and the Broken Games Collective, a community of practice that champions restoring access to games that are broken, obsolete, or inaccessible. Together, they bring historical hardware, software, and curatorial expertise into a shared space that recognizes retro video games as cultural artifacts, preserving how generations of players have engaged with soccer beyond the stadium and onto the screen.
","Global soccer comes to Toronto. Play the video games that brought the beautiful game home. ","Included with ROM ticket entry.","Tickets required.","https://tickets.rom.on.ca/en/shop","Showcase","","100 Queen's Park","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","","Hand Eye Society x Luminato at Sankofa Square","2026-06-12","Friday June 12","Sankofa Square","1 Dundas St E.","13:00:00","21:00:00","","","As part of Luminato at Sankofa Square, Hand Eye Society will present the Torontron arcade cabinets featuring indie games by local developers and game artists. The event invites indie game devs to meet up and experience newly created video games, alongside special performances by Luminato artists. Games, circuses, and concerts, oh my!","","","Free, just show up!","More info here.","https://www.luminatofestival.com/luminato-at-sankofa-square","Showcase","","1 Dundas St E","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-15 17:27:26","The G.R.I.D.","2026-06-12","Friday June 12","George Brown Polytechnic WaterFront Campus","3 Lower Jarvis St.","16:00:00","21:00:00","","Community, Industry, Game Enthusiasts, NextGen Creators, Game Creators","The G.R.I.D. is a welcoming, behind-the-scenes space where indie devs, studios, and solo creators can show off their games, get honest, helpful feedback, and keep improving - no matter what stage the game’s in. It’s all about structure, support, and moving your project forward with fresh eyes and solid input. Registration required for playtesters or developers.","Game development is a wild ride (and definitely more so today) - full of big wins, tough challenges, and everything in between. Some of the best advice comes from chatting with other devs who’ve been through it too. Getting real feedback while you’re still building can spark new ideas and help push your game to the next level.

The G.R.I.D. is a welcoming, behind-the-scenes space where indie devs, studios, and solo creators can show off their games, get honest, helpful feedback, and keep improving - no matter what stage the game’s in. It’s all about structure, support, and moving your project forward with fresh eyes and solid input.","You get to play cool video games currently in development and help give important feedback to help the games get better. Plus free food and door prizes.","Free!","Registration required.","https://playthegrid.games","Showcase","Workshop","3 Lower Jarvis St","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-03-30 23:05:27","No Bosses! Real talk from Toronto's cooperative game studios","2026-06-12","Friday June 12","North York Central Auditorium","5120 Yonge St.","18:00:00","20:30:00","","Community, Industry, Game Curious, Game Creators, Creatives interested in cooperatives","Meet Toronto indie game studios building a different kind of industry -- one rooted in workers' rights, sustainability, and cooperation. In this roundtable, studio members share what they're learning as they build cooperative game studios from the ground up. Stick around to mingle after.","Baby Ghosts runs a program called Cooperative Foundations that helps indie game studios learn cooperative governance and build sustainable studio structures. We're currently working with 10+ Toronto-based studios at various stages.

This event would be a facilitated roundtable conversation with members of these studios, talking honestly about what it's like to try to build a cooperative game studio, the challenges, the things that are working, and what they're figuring out as they go. We're aiming for real conversation between the devs, not a panel where everyone presents one by one. Audience participation and questions will be taken throughout.

We're planning for 50-100 people. We'd have a facilitator from our team running the conversation, and we're hoping to show some gameplay on a shared screen during the social period after. Studios we're hoping to feature include Rocket Adrift, Amelore, Doomscroll Studios, See in Red, Polyvale Studios, Covert Sky, and three studios from our current cohort.","Come meet indie game studios who got tired of the industry burning people out and decided to build something better together.","Free!","Registration required.","https://babyghosts.fund/events/no-bosses","Talk","","5120 Yonge St","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","","The Sounds That Shape Play: A Toronto Game Audio Roundtable","2026-06-12","Friday June 12","Lillian H. Smith Public Library","239 College St, lower level","18:00:00","20:00:00","","Community, Industry, Game Enthusiasts, NextGen Creators, Game Curious, Game Creators","Hosted by the Toronto Game Audio Collective (TGAC), this interactive roundtable session will bring together game audio creatives from across the GTA to connect to, learn from, and inspire one another. At this roundtable, we will explore how composers and audio artists can lead a game’s creative direction through sound. This session is open to all professional, aspiring and enthusiasts of video game audio!","","","Free!","FULL, waitlist here.","https://torontogameaudioroundtable.eventbrite.com","Talk","Social","239 College St","","","","","","","","","","","","","","","","","","","","","","","",""
